tenure,monthly_charges,contract,internet,tech_support,churn
6,43.98,one-year,fiber,1,0
55,32.58,month-to-month,dsl,1,0
47,103.81,month-to-month,dsl,1,0
31,130.0,month-to-month,dsl,0,0
31,58.11,month-to-month,dsl,1,0
61,36.99,month-to-month,dsl,0,0
6,15.0,month-to-month,fiber,0,1
50,63.9,month-to-month,fiber,1,0
14,62.09,month-to-month,dsl,1,0
6,53.72,one-year,dsl,0,1
37,75.53,two-year,fiber,0,0
70,79.88,one-year,fiber,0,0
52,78.08,one-year,none,1,0
54,62.1,two-year,none,0,0
51,42.46,month-to-month,dsl,0,0
56,86.65,one-year,dsl,0,0
36,70.31,month-to-month,none,1,1
9,92.21,month-to-month,dsl,1,1
60,89.75,month-to-month,fiber,1,0
32,34.46,month-to-month,dsl,1,0
36,34.14,one-year,none,0,0
26,51.11,month-to-month,dsl,0,0
13,43.59,one-year,fiber,0,1
66,88.88,two-year,none,0,0
56,78.78,month-to-month,dsl,1,0
46,97.48,month-to-month,fiber,0,0
28,79.91,month-to-month,none,1,1
59,75.22,month-to-month,dsl,0,0
39,99.99,two-year,none,0,0
31,81.74,one-year,none,1,0
32,71.7,one-year,fiber,0,1
16,107.01,month-to-month,dsl,0,1
6,72.88,one-year,fiber,1,1
39,62.39,one-year,none,0,0
63,49.05,month-to-month,none,0,0
4,87.58,month-to-month,none,0,1
61,100.93,month-to-month,dsl,1,0
59,68.74,month-to-month,dsl,0,0
19,102.7,two-year,fiber,0,1
45,20.75,one-year,fiber,0,0
11,68.61,month-to-month,fiber,0,1
54,69.0,two-year,none,1,0
50,51.83,month-to-month,dsl,0,0
25,129.6,month-to-month,dsl,1,0
4,68.35,two-year,fiber,1,0
69,59.81,two-year,dsl,0,0
32,70.65,one-year,dsl,1,0
64,19.93,month-to-month,none,1,0
48,51.0,two-year,none,1,0
56,94.58,one-year,dsl,1,0
54,54.28,one-year,none,0,0
14,49.28,month-to-month,fiber,0,1
26,102.74,month-to-month,fiber,0,1
33,103.51,two-year,dsl,1,0
35,82.92,two-year,dsl,0,0
3,58.62,one-year,fiber,1,1
39,64.01,month-to-month,fiber,1,1
11,49.9,one-year,dsl,0,0
53,45.13,month-to-month,fiber,1,0
49,43.89,month-to-month,fiber,0,0
66,54.55,month-to-month,dsl,0,0
53,44.13,month-to-month,none,1,0
26,30.91,one-year,fiber,0,0
69,75.49,month-to-month,fiber,0,0
29,75.86,month-to-month,fiber,1,1
23,112.52,two-year,fiber,1,0
65,53.29,one-year,dsl,1,0
26,77.4,month-to-month,fiber,0,1
5,77.82,month-to-month,fiber,0,1
33,63.65,one-year,none,0,0
57,88.61,month-to-month,dsl,0,0
13,89.38,month-to-month,fiber,1,1
33,78.19,month-to-month,fiber,0,0
9,63.61,month-to-month,none,1,0
49,61.06,one-year,dsl,0,1
34,35.81,month-to-month,none,0,0
23,49.85,month-to-month,fiber,0,1
16,54.45,month-to-month,dsl,0,0
40,41.9,month-to-month,fiber,0,1
